name,slug,description,price,category_id,image_url,images,stock_quantity,is_active,metadata,created_at,updated_at,sku,style_no,colour_name,colour_hex,brand_id,brand
Astari Velvet Pro Grip - Midnight,astari-velvet-pro-midnight,"Soft velvet surface with responsive feedback for consistent swings.",32.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-midnight.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-midnight.png"",""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-midnight-2.png""]",90,true,"{""material"":""Velvet"",""weight"":""52g"",""feel"":""Medium""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-VLV-002-MID,3001,Midnight,#1b1f27,1,Astari
Astari Velvet Pro Grip - Forest,astari-velvet-pro-forest,"Soft velvet surface with responsive feedback for consistent swings.",32.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-forest.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-forest.png"",""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/velvet-pro-forest-2.png""]",90,true,"{""material"":""Velvet"",""weight"":""52g"",""feel"":""Medium""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-VLV-002-FRS,3001,Forest,#1f3d2b,1,Astari
Astari Apex Tour Grip - Midnight,astari-apex-tour-midnight,"Tour-level cord grip with micro-texture for ultimate control in all weather.",39.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-midnight.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-midnight.png"",""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-midnight-2.png""]",60,true,"{""material"":""Cord"",""weight"":""50g"",""feel"":""Firm""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-APX-001-MID,3002,Midnight,#1b1f27,1,Astari
Astari Apex Tour Grip - Storm,astari-apex-tour-storm,"Tour-level cord grip tuned for wet conditions.",39.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-storm.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-storm.png"",""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/apex-tour-storm-2.png""]",60,true,"{""material"":""Cord"",""weight"":""50g"",""weather"":""Rain""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-APX-001-STM,3002,Storm,#22303c,1,Astari
Astari Cord Rain Grip - Ash,astari-cord-rain-ash,"High-tack corded grip tuned for wet conditions and humid rounds.",35.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/cord-rain-ash.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/cord-rain-ash.png""]",70,true,"{""material"":""Cord"",""weight"":""50g"",""weather"":""Rain""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-RAN-003-ASH,3003,Ash,#2c2f36,1,Astari
Astari Cord Rain Grip - Pine,astari-cord-rain-pine,"High-tack corded grip tuned for wet conditions and humid rounds.",35.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/cord-rain-pine.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/astari/product-images/astari/cord-rain-pine.png""]",70,true,"{""material"":""Cord"",""weight"":""50g"",""weather"":""Rain""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,ATX-RAN-003-PIN,3003,Pine,#1f2e27,1,Astari
Lamkin Tour Feel - Charcoal,lamkin-tour-feel-charcoal,"Classic Lamkin profile with reduced taper for better hand unity.",42.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/lamkin/product-images/lamkin/tour-feel-charcoal.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/lamkin/product-images/lamkin/tour-feel-charcoal.png""]",60,true,"{""material"":""Hybrid"",""weight"":""51g"",""feel"":""Firm""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,LMK-TFL-101-CHR,4001,Charcoal,#2c2f36,2,Lamkin
Lamkin Tour Feel - Slate,lamkin-tour-feel-slate,"Classic Lamkin profile with reduced taper for better hand unity.",42.00,1,https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/lamkin/product-images/lamkin/tour-feel-slate.png,"[""https://pub-4c9f6b7302be48af87f843f23bad5c20.r2.dev/lamkin/product-images/lamkin/tour-feel-slate.png""]",60,true,"{""material"":""Hybrid"",""weight"":""51g"",""feel"":""Firm""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,LMK-TFL-101-SLT,4001,Slate,#3a4048,2,Lamkin
Lamkin Hybrid Plus - Slate,lamkin-hybrid-plus-slate,"Hybrid rubber/cord zones for balanced tack and moisture control.",44.00,1,/products/lamkin-hybrid-plus.png,"[""/products/lamkin-hybrid-plus.png""]",70,true,"{""material"":""Hybrid"",""weight"":""53g"",""feel"":""Medium""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,LMK-HYB-102-SLT,4002,Slate,#3a4048,2,Lamkin
Lamkin Hybrid Plus - Navy,lamkin-hybrid-plus-navy,"Hybrid rubber/cord zones for balanced tack and moisture control.",44.00,1,/products/lamkin-hybrid-plus.png,"[""/products/lamkin-hybrid-plus.png""]",70,true,"{""material"":""Hybrid"",""weight"":""53g"",""feel"":""Medium""}",2025-01-10T00:00:00Z,2025-01-10T00:00:00Z,LMK-HYB-102-NVY,4002,Navy,#1f2a3a,2,Lamkin
